"test_id","status","test_group","query","expected_aoi_ids","expected_nudge_type","expected_nudge_options","expected_clarification","expected_text","difficulty","behaviour","lineage","verify_query","verified"
"ch-aoi-001","ready","aoi-direct","Go to Japan","JPN","","","","","easy","select","baseline","Japan","prod-api 2026-09-01"
"ch-aoi-002","ready","aoi-direct","Show me Brazil on the map","BRA","","","","","easy","select","baseline","Brazil","prod-api 2026-09-01"
"ch-aoi-003","ready","aoi-direct","Zoom to Kenya","KEN","","","","","easy","select","baseline","Kenya","prod-api 2026-09-01"
"ch-aoi-004","ready","aoi-direct","Take me to Indonesia","IDN","","","","","easy","select","baseline","Indonesia","prod-api 2026-09-01"
"ch-aoi-005","ready","aoi-direct","Show me Bavaria","DEU.2","","","","","hard","select","SPEC-PR8 alias gap confirmed: stored name is Bayern; 'Bavaria' search returns Bulgaria junk","Bavaria|Bayern","prod-api 2026-09-01"
"ch-aoi-006","ready","aoi-direct","Go to California","USA.5","","","","","medium","select","exact-name crowding: MEX 'California' ejido landmarks fill top candidates, state row absent from top 8","California","prod-api 2026-09-01"
"ch-aoi-007","ready","aoi-direct","Take me to Odisha","IND.26","","","","","easy","select","baseline","Odisha","prod-api 2026-09-01"
"ch-aoi-008","ready","aoi-direct","Show me the state of Acre in Brazil","BRA.1","","","","","easy","select","baseline","Acre","prod-api 2026-09-01"
"ch-aoi-009","ready","aoi-direct","Zoom to Ontario","CAN.9","","","","","easy","select","baseline","Ontario","prod-api 2026-09-01"
"ch-aoi-010","ready","aoi-direct","Go to Castelo Branco in Portugal","PRT.6","","","","","medium","select","tie-break prefers state; district row PRT.6.2 same name also plausible","Castelo Branco","prod-api 2026-09-01"
"ch-aoi-011","ready","aoi-direct","Show me Broward County in Florida","USA.10.6","","","","","medium","select","baseline","Broward","prod-api 2026-09-01"
"ch-aoi-012","ready","aoi-direct","Take me to the Cusco region of Peru","PER.8","","","","","medium","select","baseline","Cusco","prod-api 2026-09-01"
"ch-aoi-013","ready","aoi-direct","Go to the municipality of Ouro Preto in Brazil","BRA.13.540","","","","","medium","select","baseline","Ouro Preto","prod-api 2026-09-01"
"ch-aoi-014","ready","aoi-direct","Zoom to Chamonix-Mont-Blanc","FRA.1.7.2.2","","","","","hard","select","SPEC-PR8 short-query class: bare 'Chamonix' search returns zero relevant rows; full name reaches FRA.1.7.2.2 (locality)","Chamonix","prod-api 2026-09-01"
"ch-aoi-015","ready","aoi-direct","Show me the Gulu district of Uganda","UGA.8","","","","","medium","select","Ugandan district = GADM level 1 (state-province subtype)","Gulu","prod-api 2026-09-01"
"ch-aoi-016","ready","aoi-direct","Go to Sabah","MYS.13","","","","","medium","select","baseline","Sabah","prod-api 2026-09-01"
"ch-aoi-017","ready","aoi-direct","Take me to Quintana Roo","MEX.23","","","","","easy","select","baseline","Quintana Roo","prod-api 2026-09-01"
"ch-aoi-018","ready","aoi-direct","Show me Aberdeenshire","GBR.3.2","","","","","medium","select","baseline","Aberdeenshire","prod-api 2026-09-01"
"ch-aoi-019","ready","aoi-direct","Go to the province of Mendoza in Argentina","ARG.13","","","","","easy","select","baseline","Mendoza","prod-api 2026-09-01"
"ch-aoi-020","ready","aoi-direct","Zoom to Hokkaido","JPN.12","","","","","easy","select","baseline","Hokkaido","prod-api 2026-09-01"
"ch-aoi-021","ready","aoi-sources","Show me Serengeti National Park","916","","","","","medium","select","SPEC-PR8 designation swamping; kba 6972 carries the identical name (source ambiguity)","Serengeti","prod-api 2026-09-01"
"ch-aoi-022","ready","aoi-sources","Go to Kruger National Park","873","","","","","medium","select","SPEC-PR8","Kruger","prod-api 2026-09-01"
"ch-aoi-023","ready","aoi-sources","Zoom to Yosemite National Park","975","","","","","medium","select","SPEC-PR8","Yosemite","prod-api 2026-09-01"
"ch-aoi-024","ready","aoi-sources","Show me Botum Sakor","478405","","","","","medium","select","PZB-1234 (bare name works); gadm district KHM.9.1 same name is a defensible alternative","Botum Sakor","prod-api 2026-09-01"
"ch-aoi-025","ready","aoi-sources","Show me Botum Sakor National Park","478405","","","","","hard","select","PZB-1234 live bug","Botum Sakor","prod-api 2026-09-01"
"ch-aoi-026","ready","aoi-sources","Go to Gunung Leuser National Park","1251","","","","","hard","select","PZB-1234 live bug","Gunung Leuser","prod-api 2026-09-01"
"ch-aoi-027","ready","aoi-sources","Take me to Yellowstone","377207","","","","","hard","select","SPEC-PR5 E: many Yellowstone wdpa variants (wildlife area, UNESCO-MAB, state park) make the pick nondeterministic","Yellowstone","prod-api 2026-09-01"
"ch-aoi-028","ready","aoi-sources","Show me the Sundarbans","","","","TRUE","Asks whether the user means the Sundarbans in Bangladesh or in India rather than silently picking one","hard","clarify","SPEC-PR5 E","Sundarbans","prod-api 2026-09-01"
"ch-aoi-029","ready","aoi-sources","Go to the Okavango Delta","6047","","","","","medium","select","baseline","Okavango","prod-api 2026-09-01"
"ch-aoi-030","ready","aoi-sources","Show me Mabira Forest","7052","","","","","medium","select","kba 7052 Mabira Forest Reserve; wdpa 34808 acceptable alternative","Mabira","prod-api 2026-09-01"
"ch-aoi-031","ready","aoi-sources","Take me to Bialowieza National Park","952","","","","","hard","select","stored as Puszcza Bialowieska; kba 952 carries 'Bialowieza Forest' intl name; wdpa rows are Natura 2000 sites","Bialowieza","prod-api 2026-09-01"
"ch-aoi-032","ready","aoi-sources","Show me the Catua-Ipixuna Extractive Reserve","352135","","","","","medium","select","wdpa 352135 Reserva Extrativista Catua-Ipixuna; landmark BRA79 acceptable alternative","Catua-Ipixuna","prod-api 2026-09-01"
"ch-aoi-033","ready","aoi-sources","Go to the Osceola Research Natural Area","555608530","","","","","medium","select","wdpa 555608530 post unified table; pzb-909.csv vintage listed landmark USA20100","Osceola","prod-api 2026-09-01"
"ch-aoi-034","ready","aoi-sources","Show me the Kayapo Indigenous Territory","BRA1507","","","","","hard","select","landmark BRA1507 Kayapo Tierra Indigena; wdpa 34004 acceptable alternative","Kayapo","prod-api 2026-09-01"
"ch-aoi-035","ready","aoi-sources","Zoom to Manas National Park","18093","","","","","hard","select","kba 18093 Manas NP India; Royal Manas NP Bhutan (wdpa 7996) is the confusion risk","Manas","prod-api 2026-09-01"
"ch-aoi-036","ready","aoi-acronyms","Go to the USA","USA","","","","","hard","select","PZB-1270 Bug 3 live","United States","prod-api 2026-09-01"
"ch-aoi-037","ready","aoi-acronyms","Show me the US on the map","USA","","","","","hard","select","PZB-1270","United States","prod-api 2026-09-01"
"ch-aoi-038","ready","aoi-acronyms","Zoom to the UK","GBR","","","","","hard","select","PZB-1270","United Kingdom","prod-api 2026-09-01"
"ch-aoi-039","ready","aoi-acronyms","Take me to the DRC","COD","","","","","hard","select","SPEC-PR6 acronym class","Democratic Republic of the Congo","prod-api 2026-09-01"
"ch-aoi-040","ready","aoi-acronyms","Show me the UAE","ARE","","","","","hard","select","SPEC-PR6 acronym class","United Arab Emirates","prod-api 2026-09-01"
"ch-aoi-041","ready","aoi-acronyms","Go to Ivory Coast","CIV","","","","","hard","select","ADR-001 exonym confirmed live: 'Ivory Coast' search returns coastline junk; stored Cote d'Ivoire","Ivory Coast|Côte d'Ivoire","prod-api 2026-09-01"
"ch-aoi-042","ready","aoi-acronyms","Take me to Burma","MMR","","","","","hard","select","exonym (stored Myanmar)","Myanmar","prod-api 2026-09-01"
