manifest_id,intent,eval_subtype,aoi_ids,start_year,end_year,start_date,end_date,canopy_cover,forest_filter,intersections,crop_types,gas_types,land_cover_classes,date_expression,expected_language,phrasing,n_cases,judge_note,notes,evaluators
m-driver-quant-01,quantification,dominant_driver,BRA,,,,,,,,,,,fixed,en,direct,2,"Dominant driver of tree cover loss over the whole record 2001-2025 (single aggregate, not a year, range, or trend). Seven driver classes, exclude Unknown; present as pie chart or table; avoid the term 'deforestation' for the raw loss. Model accuracy 90.5%.",pie/table,
m-driver-quant-02,quantification,dominant_driver,IDN,,,,,,,,,,,fixed,en,direct,1,"Dominant driver of tree cover loss over 2001-2025 (whole-record aggregate). Exclude Unknown; pie/table; avoid 'deforestation' for raw loss.",pie/table,
m-driver-quant-03,quantification,driver_share,COD,,,,,,,,,,,fixed,en,conversational,1,"Share/area of loss attributed to shifting cultivation over the whole record 2001-2025; exclude Unknown; avoid 'deforestation' for raw loss.",driver focus: shifting cultivation,
m-driver-quant-04,quantification,driver_share,BRA,,,,,,,,,,,fixed,en,direct,1,"Share/area of loss attributed to permanent agriculture over 2001-2025; exclude Unknown; avoid 'deforestation' for raw loss.",driver focus: permanent agriculture,
m-driver-quant-05,quantification,driver_grouping,IDN,,,,,,,,,,,fixed,en,direct,1,"Deforestation-drivers grouping = permanent agriculture + hard commodities + settlements and infrastructure, over the whole record 2001-2025; whole-record aggregate; pie/table.",grouping: deforestation drivers,
m-driver-quant-06,quantification,driver_grouping,COL,,,,,,,,,,,fixed,en,conversational,1,"Temporary-disturbances grouping = shifting cultivation + logging + wildfire + other natural disturbances, over 2001-2025; whole-record aggregate; avoid 'deforestation' for raw loss.",grouping: temporary disturbances,
m-driver-quant-07,quantification,driver_grouping,PER,,,,,,,,,,,fixed,en,direct,1,"All-agriculture grouping = permanent agriculture + shifting cultivation, over 2001-2025; whole-record aggregate; avoid 'deforestation' for raw loss.",grouping: all agriculture,
m-driver-quant-08,quantification,canopy_threshold,BRA,,,,,50,,,,,,fixed,en,direct,1,"50% canopy density threshold. Dominant driver breakdown over the whole record 2001-2025; exclude Unknown; pie/table; avoid 'deforestation' for raw loss.",pie/table,
m-driver-quant-09,quantification,canopy_threshold,IDN,,,,,75,,,,,,fixed,en,imprecise,1,"75% canopy density threshold. Driver breakdown over 2001-2025; exclude Unknown; pie/table; avoid 'deforestation' for raw loss.",pie/table,
m-driver-quant-10,quantification,dominant_driver,GHA,,,,,,,,,,,fixed,en,imprecise,1,"Dominant driver of tree cover loss over 2001-2025 (whole-record aggregate). Exclude Unknown; pie/table; avoid 'deforestation' for raw loss.",pie/table,
m-driver-quant-11,quantification,driver_share,MYS,,,,,,,,,,,fixed,en,direct,1,"Share/area of loss attributed to hard commodities over 2001-2025; exclude Unknown; avoid 'deforestation' for raw loss.",driver focus: hard commodities,
